MSOA01NAME,DrugCrimes,Total_Population,Employment_DS,Income_DS,LONG,LAT
Torfaen 006,17,7217,0.11,0.105,-2.99901,51.7082
Torfaen 007,20,7505,0.284,0.347,-3.02775,51.6839
Torfaen 008,7,7259,0.096,0.085,-3.04152,51.6662
Torfaen 009,11,6767,0.204,0.282,-2.99662,51.6576
Torfaen 010,36,6822,0.197,0.285,-3.04403,51.6507
Torfaen 011,8,6558,0.185,0.227,-3.02696,51.6506
Torfaen 012,2,6791,0.124,0.135,-3.05805,51.6511
Torfaen 013,10,6833,0.093,0.088,-3.06698,51.6334
Monmouthshire 001,14,8148,0.122,0.077,-3.00115,51.6328
Monmouthshire 002,21,7506,,,-2.94738,51.897
Monmouthshire 005,8,7220,0.176,0.098,-3.0145,51.8314
Monmouthshire 006,4,8387,0.051,0.054,-2.88922,51.8065
Newport 001,9,8061,0.052,0.039,-2.92946,51.6831
,7,6014,,,-2.96816,51.6161
,24,9395,,,-3.50395,51.9683
,27,10210,,,-3.39814,51.7951
,15,10075,,,-3.63616,51.8082
,8,12211,,,-3.81591,51.7723
,14,10617,,,-4.57225,51.8355
,46,13464,,,-3.46621,53.3157
,13,11722,,,-2.94408,53.0764
Caerphilly 016,19,6464,0.103,0.123,-3.88655,52.283
Caerphilly 021,13,5455,0.095,0.092,-3.0822,51.6091
Monmouthshire 009,8,7565,0.052,0.05,-3.15858,51.578
Monmouthshire 011,14,7953,0.042,0.054,-2.74668,51.6284
Newport 002,11,7997,0.078,0.053,-2.80973,51.5798
Newport 003,59,7606,0.164,0.189,-3.00577,51.6131
Newport 004,14,7386,0.108,0.101,-3.02931,51.6064
Newport 005,23,6072,0.256,0.307,-2.8759,51.5903
Newport 006,30,6598,0.248,0.323,-2.97073,51.5993
Newport 007,35,7066,0.165,0.203,-3.00115,51.6036
Newport 008,15,5982,0.092,0.097,-2.98231,51.6
Newport 009,10,8434,0.042,0.023,-2.94414,51.5948
Newport 010,18,5389,0.28,0.372,-3.05194,51.6004
Newport 011,36,7899,0.099,0.108,-2.93407,51.5894
Newport 012,12,5951,0.141,0.139,-2.97429,51.5896
Newport 013,49,9855,0.185,0.264,-3.01784,51.5887
Newport 014,117,6141,0.176,0.209,-2.97149,51.584
Newport 015,64,10686,0.142,0.199,-2.99791,51.5833
Newport 016,18,5986,0.046,0.039,-2.95242,51.5623
Newport 017,10,5657,0.159,0.208,-3.05093,51.5784
Newport 018,59,7318,0.172,0.261,-3.02063,51.5748
Newport 019,39,7485,0.206,0.332,-2.98887,51.5661
Newport 020,25,8167,,,-3.01906,51.5616
Cardiff 003,15,7968,0.074,0.099,-3.05241,51.5513
Cardiff 007,10,6541,0.163,0.216,-3.13091,51.5412
Cardiff 011,14,7125,0.16,0.254,-3.12206,51.5259
Cardiff 013,20,6270,0.236,0.345,-3.0952,51.5071
Cardiff 015,16,6271,0.168,0.245,-3.10371,51.522
Cardiff 016,14,5738,0.209,0.264,-3.1299,51.5173
Cardiff 022,7,5888,0.204,0.256,-3.11467,51.5159
Herefordshire 021,0,10952,0.035,0.051,-3.12563,51.5025
Herefordshire 023,0,11642,0.079,0.105,-2.74135,51.9596
Forest of Dean 006,0,5009,0.049,0.064,-2.60966,51.9131
Forest of Dean 010,0,7176,0.12,0.169,-2.62192,51.7429
Monmouthshire 004,23,10508,0.098,0.152,-2.62465,51.6927
Monmouthshire 007,8,9673,0.046,0.057,-2.70307,51.8184
Monmouthshire 008,29,8534,0.113,0.128,-2.75685,51.7007
Monmouthshire 010,20,8164,,,-2.67145,51.6271
Cardiff 001,2,6068,0.054,0.049,-2.75142,51.5887
Cardiff 008,2,5683,0.041,0.034,-3.18236,51.5438
Cardiff 009,24,7062,0.275,0.406,-3.16191,51.5253
Cardiff 017,15,7219,0.115,0.127,-3.14616,51.5245
"Rhondda, Cynon, Taff 022",29,9915,0.209,0.226,-3.15384,51.5139
"Rhondda, Cynon, Taff 025",1,5766,0.176,0.241,-3.3144,51.595
"Rhondda, Cynon, Taff 026",13,7000,0.104,0.128,-3.30466,51.5711
"Rhondda, Cynon, Taff 027",8,9402,,,-3.26246,51.563
Caerphilly 018,10,6799,0.218,0.273,-3.32045,51.5583
Caerphilly 020,25,6859,0.066,0.07,-3.27399,51.6039
Caerphilly 022,41,9505,0.096,0.094,-3.19548,51.6025
Caerphilly 023,18,7500,0.185,0.229,-3.20964,51.5839
Caerphilly 024,17,10257,0.073,0.056,-3.23953,51.5819
Cardiff 002,2,5946,0.044,0.055,-3.2198,51.566
Cardiff 004,1,6509,0.032,0.033,-3.19733,51.5397
Cardiff 006,1,7613,0.079,0.084,-3.22023,51.5382
Cardiff 010,9,6780,0.088,0.099,-3.26449,51.525
Cardiff 014,4,7108,0.036,0.03,-3.24293,51.5329
Bridgend 009,10,10054,0.089,0.09,-3.29614,51.5215
Bridgend 011,46,6961,0.064,0.051,-3.50148,51.5417
Bridgend 012,11,6135,0.114,0.116,-3.55475,51.5235
